ResponseId,Perspective,vasMarker,GC,Duration (in seconds),Age,Sex,Eng,Question,VAS,Risk,AgeZeroCenter
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_26,0.54,High Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_27,0.42,Low Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_28,0.57,High Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_29,0.4,High Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_30,0.36,High Risk,5.531862745098039
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_1,0.07,Low Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_2,0.4,High Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_3,0.2,Minimal Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_4,0.27,High Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_5,0.11,High Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_6,0.21,Low Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_7,0.19,High Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_8,0.23,High Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_9,0.23,Minimal Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_10,0.03,High Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_11,0.57,Minimal Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_12,0.67,High Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_13,0.73,Minimal Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_14,0.72,Minimal Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_15,0.57,Minimal Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_16,0.77,Low Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_17,0.55,High Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_18,0.81,Low Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_19,0.83,Low Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_20,0.2,High Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_21,0.39,Low Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_22,0.7,High Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_23,0.18,High Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_24,0.51,Minimal Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_25,0.63,High Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_26,0.55,High Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_27,0.25,Low Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_28,0.74,High Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_29,0.12,High Risk,-6.468137254901961
R_02tSAYCujtEe3pD,Self,No Midpoint,94,710,28,Male,Yes.,Question_30,0.13,High Risk,-6.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_1,0.01,Low Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_2,0.04,High Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_3,0.02,Minimal Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_4,0,High Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_5,0.02,High Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_6,0,Low Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_7,0,High Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_8,0.03,High Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_9,0.02,Minimal Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_10,0,High Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_11,0.17,Minimal Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_12,0,High Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_13,0.71,Minimal Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_14,0,Minimal Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_15,0.65,Minimal Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_16,0,Low Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_17,0,High Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_18,0.28,Low Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_19,0.13,Low Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_20,0.01,High Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_21,0.26,Low Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_22,0.96,High Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_23,0,High Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_24,0.11,Minimal Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_25,0.06,High Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_26,0.25,High Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_27,0,Low Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_28,0.04,High Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_29,0,High Risk,-11.468137254901961
R_07WzyimKb7ZcVdn,Self,No Midpoint,77,579,23,Female,Yes.,Question_30,0,High Risk,-11.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_1,0.21,Low Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_2,0.26,High Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_3,0.41,Minimal Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_4,0.49,High Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_5,0.7,High Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_6,0.3,Low Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_7,0.52,High Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_8,0.26,High Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_9,0.13,Minimal Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_10,0.16,High Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_11,0.44,Minimal Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_12,0.65,High Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_13,0.54,Minimal Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_14,0.55,Minimal Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_15,0.43,Minimal Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_16,0.37,Low Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_17,0.58,High Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_18,0.17,Low Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_19,0.51,Low Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_20,0.29,High Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_21,0.23,Low Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_22,0.51,High Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_23,0.19,High Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_24,0.56,Minimal Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_25,0.74,High Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_26,0.6,High Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_27,0.49,Low Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_28,0.52,High Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_29,0.19,High Risk,-12.468137254901961
R_09tJMlxNrTIEem5,Self,No Midpoint,69,1067,22,Female,Yes.,Question_30,0.16,High Risk,-12.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_1,0.71,Low Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_2,0.29,High Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_3,0.5,Minimal Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_4,0.27,High Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_5,0.24,High Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_6,0.65,Low Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_7,0.06,High Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_8,0.6,High Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_9,0.04,Minimal Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_10,0.04,High Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_11,0.77,Minimal Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_12,0.69,High Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_13,0.69,Minimal Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_14,0.61,Minimal Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_15,0.27,Minimal Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_16,0.51,Low Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_17,0.05,High Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_18,0.78,Low Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_19,0.62,Low Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_20,0.29,High Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_21,0.5,Low Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_22,0.82,High Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_23,0.07,High Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_24,0.97,Minimal Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_25,0.72,High Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_26,0.71,High Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_27,0.67,Low Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_28,0.53,High Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_29,0.26,High Risk,-11.468137254901961
R_0D0OK2KoNEuNApX,Self,Midpoint,65,420,23,Female,Yes.,Question_30,0.04,High Risk,-11.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_1,0.26,Low Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_2,0.16,High Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_3,0.06,Minimal Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_4,0.07,High Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_5,0.11,High Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_6,0.5,Low Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_7,0.5,High Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_8,0.5,High Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_9,0.01,Minimal Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_10,0,High Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_11,0.79,Minimal Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_12,0,High Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_13,0.24,Minimal Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_14,0.73,Minimal Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_15,0.68,Minimal Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_16,0.5,Low Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_17,0.27,High Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_18,0.72,Low Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_19,0.68,Low Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_20,0.22,High Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_21,0.26,Low Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_22,0.72,High Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_23,0.33,High Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_24,1,Minimal Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_25,0.72,High Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_26,0.72,High Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_27,0.31,Low Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_28,0,High Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_29,0,High Risk,-8.468137254901961
R_0j3Zgh9bfg3vinv,Self,No Midpoint,90,516,26,Female,Yes.,Question_30,0,High Risk,-8.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_1,0,Low Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_2,0,High Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_3,0.18,Minimal Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_4,0,High Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_5,0.23,High Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_6,0,Low Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_7,0,High Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_8,0,High Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_9,0.07,Minimal Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_10,0,High Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_11,0.91,Minimal Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_12,0,High Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_13,0.83,Minimal Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_14,0.02,Minimal Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_15,0,Minimal Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_16,0,Low Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_17,0,High Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_18,0.49,Low Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_19,0,Low Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_20,0,High Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_21,0,Low Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_22,0.87,High Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_23,0,High Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_24,0.82,Minimal Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_25,0,High Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_26,0,High Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_27,0.06,Low Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_28,0.07,High Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_29,0,High Risk,-4.468137254901961
R_0jEFMiNiBZELlyV,Other,Midpoint,86,682,30,Female,Yes.,Question_30,0,High Risk,-4.468137254901961
R_0VuawOjSdEUACxX,Other,Midpoint,85,619,33,Male,Yes.,Question_1,0.35,Low Risk,-1.4681372549019613
R_0VuawOjSdEUACxX,Other,Midpoint,85,619,33,Male,Yes.,Question_2,0.06,High Risk,-1.4681372549019613
R_0VuawOjSdEUACxX,Other,Midpoint,85,619,33,Male,Yes.,Question_3,0.14,Minimal Risk,-1.4681372549019613
R_0VuawOjSdEUACxX,Other,Midpoint,85,619,33,Male,Yes.,Question_4,0.1,High Risk,-1.4681372549019613
R_0VuawOjSdEUACxX,Other,Midpoint,85,619,33,Male,Yes.,Question_5,0.51,High Risk,-1.4681372549019613
R_0VuawOjSdEUACxX,Other,Midpoint,85,619,33,Male,Yes.,Question_6,0.28,Low Risk,-1.4681372549019613
