"";"ResponseId";"Group";"Question";"VAS";"Risk";"Perspective";"Condition"
"47";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_17";3;"Minimal Risk";"Personal";"Reasoning"
"48";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_18";3;"Minimal Risk";"Personal";"Reasoning"
"49";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_19";3;"Minimal Risk";"Personal";"Reasoning"
"50";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_20";5;"Minimal Risk";"Personal";"Reasoning"
"51";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_21";3;"Low Risk";"Personal";"Reasoning"
"52";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_22";16;"Low Risk";"Personal";"Reasoning"
"53";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_23";5;"Low Risk";"Personal";"Reasoning"
"54";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_24";11;"Low Risk";"Personal";"Reasoning"
"55";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_25";10;"Low Risk";"Personal";"Reasoning"
"56";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_26";2;"Low Risk";"Personal";"Reasoning"
"57";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_27";4;"Low Risk";"Personal";"Reasoning"
"58";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_28";11;"Low Risk";"Personal";"Reasoning"
"59";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_29";2;"Low Risk";"Personal";"Reasoning"
"60";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_30";2;"Low Risk";"Personal";"Reasoning"
"61";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_1";47;"High Risk";"Personal";"Control"
"62";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_2";0;"High Risk";"Personal";"Control"
"63";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_3";69;"High Risk";"Personal";"Control"
"64";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_4";0;"High Risk";"Personal";"Control"
"65";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_5";30;"High Risk";"Personal";"Control"
"66";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_6";65;"High Risk";"Personal";"Control"
"67";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_7";0;"High Risk";"Personal";"Control"
"68";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_8";78;"High Risk";"Personal";"Control"
"69";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_9";32;"High Risk";"Personal";"Control"
"70";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_10";0;"High Risk";"Personal";"Control"
"71";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_11";94;"Minimal Risk";"Personal";"Control"
"72";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_12";0;"Minimal Risk";"Personal";"Control"
"73";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_13";73;"Minimal Risk";"Personal";"Control"
"74";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_14";96;"Minimal Risk";"Personal";"Control"
"75";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_15";12;"Minimal Risk";"Personal";"Control"
"76";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_16";81;"Minimal Risk";"Personal";"Control"
"77";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_17";0;"Minimal Risk";"Personal";"Control"
"78";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_18";91;"Minimal Risk";"Personal";"Control"
"79";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_19";53;"Minimal Risk";"Personal";"Control"
"80";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_20";0;"Minimal Risk";"Personal";"Control"
"81";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_21";64;"Low Risk";"Personal";"Control"
"82";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_22";97;"Low Risk";"Personal";"Control"
"83";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_23";23;"Low Risk";"Personal";"Control"
"84";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_24";100;"Low Risk";"Personal";"Control"
"85";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_25";0;"Low Risk";"Personal";"Control"
"86";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_26";82;"Low Risk";"Personal";"Control"
"87";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_27";37;"Low Risk";"Personal";"Control"
"88";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_28";0;"Low Risk";"Personal";"Control"
"89";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_29";0;"Low Risk";"Personal";"Control"
"90";"R_10IMVHlkdXvxvVp";"Per. Control";"Question_30";0;"Low Risk";"Personal";"Control"
"91";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_1";29;"High Risk";"Personal";"Reasoning"
"92";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_2";29;"High Risk";"Personal";"Reasoning"
"93";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_3";46;"High Risk";"Personal";"Reasoning"
"94";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_4";22;"High Risk";"Personal";"Reasoning"
"95";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_5";32;"High Risk";"Personal";"Reasoning"
"96";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_6";23;"High Risk";"Personal";"Reasoning"
"97";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_7";26;"High Risk";"Personal";"Reasoning"
"98";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_8";24;"High Risk";"Personal";"Reasoning"
"99";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_9";31;"High Risk";"Personal";"Reasoning"
"100";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_10";13;"High Risk";"Personal";"Reasoning"
"101";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_11";70;"Minimal Risk";"Personal";"Reasoning"
"102";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_12";45;"Minimal Risk";"Personal";"Reasoning"
"103";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_13";42;"Minimal Risk";"Personal";"Reasoning"
"104";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_14";65;"Minimal Risk";"Personal";"Reasoning"
"105";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_15";62;"Minimal Risk";"Personal";"Reasoning"
"106";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_16";67;"Minimal Risk";"Personal";"Reasoning"
"107";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_17";30;"Minimal Risk";"Personal";"Reasoning"
"108";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_18";56;"Minimal Risk";"Personal";"Reasoning"
"109";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_19";37;"Minimal Risk";"Personal";"Reasoning"
"110";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_20";25;"Minimal Risk";"Personal";"Reasoning"
"111";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_21";33;"Low Risk";"Personal";"Reasoning"
"112";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_22";65;"Low Risk";"Personal";"Reasoning"
"113";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_23";25;"Low Risk";"Personal";"Reasoning"
"114";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_24";65;"Low Risk";"Personal";"Reasoning"
"115";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_25";66;"Low Risk";"Personal";"Reasoning"
"116";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_26";41;"Low Risk";"Personal";"Reasoning"
"117";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_27";21;"Low Risk";"Personal";"Reasoning"
"118";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_28";32;"Low Risk";"Personal";"Reasoning"
"119";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_29";28;"Low Risk";"Personal";"Reasoning"
"120";"R_11XhYMbR3tcnv2M";"Per. Reasoning";"Question_30";29;"Low Risk";"Personal";"Reasoning"
"121";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_1";5;"High Risk";"Impersonal";"Reasoning"
"122";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_2";0;"High Risk";"Impersonal";"Reasoning"
"123";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_3";70;"High Risk";"Impersonal";"Reasoning"
"124";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_4";0;"High Risk";"Impersonal";"Reasoning"
"125";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_5";17;"High Risk";"Impersonal";"Reasoning"
"126";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_6";44;"High Risk";"Impersonal";"Reasoning"
"127";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_7";0;"High Risk";"Impersonal";"Reasoning"
"128";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_8";13;"High Risk";"Impersonal";"Reasoning"
"129";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_9";82;"High Risk";"Impersonal";"Reasoning"
"130";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_10";0;"High Risk";"Impersonal";"Reasoning"
"131";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_11";100;"Minimal Risk";"Impersonal";"Reasoning"
"132";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_12";11;"Minimal Risk";"Impersonal";"Reasoning"
"133";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_13";67;"Minimal Risk";"Impersonal";"Reasoning"
"134";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_14";88;"Minimal Risk";"Impersonal";"Reasoning"
"135";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_15";18;"Minimal Risk";"Impersonal";"Reasoning"
"136";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_16";72;"Minimal Risk";"Impersonal";"Reasoning"
"137";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_17";0;"Minimal Risk";"Impersonal";"Reasoning"
"138";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_18";84;"Minimal Risk";"Impersonal";"Reasoning"
"139";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_19";58;"Minimal Risk";"Impersonal";"Reasoning"
"140";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_20";0;"Minimal Risk";"Impersonal";"Reasoning"
"141";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_21";9;"Low Risk";"Impersonal";"Reasoning"
"142";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_22";55;"Low Risk";"Impersonal";"Reasoning"
"143";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_23";0;"Low Risk";"Impersonal";"Reasoning"
"144";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_24";100;"Low Risk";"Impersonal";"Reasoning"
"145";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_25";13;"Low Risk";"Impersonal";"Reasoning"
"146";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_26";43;"Low Risk";"Impersonal";"Reasoning"
"147";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_27";62;"Low Risk";"Impersonal";"Reasoning"
"148";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_28";23;"Low Risk";"Impersonal";"Reasoning"
"149";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_29";0;"Low Risk";"Impersonal";"Reasoning"
"150";"R_129hCeOIWDbKCMr";"Gen. Reasoning";"Question_30";0;"Low Risk";"Impersonal";"Reasoning"
"151";"R_12sgmBSHtwkbSml";"Per. Control";"Question_1";0;"High Risk";"Personal";"Control"
"152";"R_12sgmBSHtwkbSml";"Per. Control";"Question_2";0;"High Risk";"Personal";"Control"
"153";"R_12sgmBSHtwkbSml";"Per. Control";"Question_3";100;"High Risk";"Personal";"Control"
"154";"R_12sgmBSHtwkbSml";"Per. Control";"Question_4";0;"High Risk";"Personal";"Control"
"155";"R_12sgmBSHtwkbSml";"Per. Control";"Question_5";49;"High Risk";"Personal";"Control"
"156";"R_12sgmBSHtwkbSml";"Per. Control";"Question_6";0;"High Risk";"Personal";"Control"
"157";"R_12sgmBSHtwkbSml";"Per. Control";"Question_7";0;"High Risk";"Personal";"Control"
"158";"R_12sgmBSHtwkbSml";"Per. Control";"Question_8";100;"High Risk";"Personal";"Control"
"159";"R_12sgmBSHtwkbSml";"Per. Control";"Question_9";100;"High Risk";"Personal";"Control"
"160";"R_12sgmBSHtwkbSml";"Per. Control";"Question_10";0;"High Risk";"Personal";"Control"
"161";"R_12sgmBSHtwkbSml";"Per. Control";"Question_11";100;"Minimal Risk";"Personal";"Control"
"162";"R_12sgmBSHtwkbSml";"Per. Control";"Question_12";0;"Minimal Risk";"Personal";"Control"
"163";"R_12sgmBSHtwkbSml";"Per. Control";"Question_13";100;"Minimal Risk";"Personal";"Control"
"164";"R_12sgmBSHtwkbSml";"Per. Control";"Question_14";100;"Minimal Risk";"Personal";"Control"
"165";"R_12sgmBSHtwkbSml";"Per. Control";"Question_15";100;"Minimal Risk";"Personal";"Control"
"166";"R_12sgmBSHtwkbSml";"Per. Control";"Question_16";100;"Minimal Risk";"Personal";"Control"
"167";"R_12sgmBSHtwkbSml";"Per. Control";"Question_17";0;"Minimal Risk";"Personal";"Control"
"168";"R_12sgmBSHtwkbSml";"Per. Control";"Question_18";100;"Minimal Risk";"Personal";"Control"
"169";"R_12sgmBSHtwkbSml";"Per. Control";"Question_19";0;"Minimal Risk";"Personal";"Control"
"170";"R_12sgmBSHtwkbSml";"Per. Control";"Question_20";100;"Minimal Risk";"Personal";"Control"
"171";"R_12sgmBSHtwkbSml";"Per. Control";"Question_21";0;"Low Risk";"Personal";"Control"
"172";"R_12sgmBSHtwkbSml";"Per. Control";"Question_22";100;"Low Risk";"Personal";"Control"
"173";"R_12sgmBSHtwkbSml";"Per. Control";"Question_23";0;"Low Risk";"Personal";"Control"
"174";"R_12sgmBSHtwkbSml";"Per. Control";"Question_24";100;"Low Risk";"Personal";"Control"
"175";"R_12sgmBSHtwkbSml";"Per. Control";"Question_25";100;"Low Risk";"Personal";"Control"
"176";"R_12sgmBSHtwkbSml";"Per. Control";"Question_26";51;"Low Risk";"Personal";"Control"
"177";"R_12sgmBSHtwkbSml";"Per. Control";"Question_27";100;"Low Risk";"Personal";"Control"
"178";"R_12sgmBSHtwkbSml";"Per. Control";"Question_28";0;"Low Risk";"Personal";"Control"
"179";"R_12sgmBSHtwkbSml";"Per. Control";"Question_29";0;"Low Risk";"Personal";"Control"
"180";"R_12sgmBSHtwkbSml";"Per. Control";"Question_30";0;"Low Risk";"Personal";"Control"
"181";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_1";5;"High Risk";"Impersonal";"Control"
"182";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_2";1;"High Risk";"Impersonal";"Control"
"183";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_3";6;"High Risk";"Impersonal";"Control"
"184";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_4";5;"High Risk";"Impersonal";"Control"
"185";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_5";12;"High Risk";"Impersonal";"Control"
"186";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_6";21;"High Risk";"Impersonal";"Control"
"187";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_7";61;"High Risk";"Impersonal";"Control"
"188";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_8";0;"High Risk";"Impersonal";"Control"
"189";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_9";0;"High Risk";"Impersonal";"Control"
"190";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_10";0;"High Risk";"Impersonal";"Control"
"191";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_11";92;"Minimal Risk";"Impersonal";"Control"
"192";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_12";74;"Minimal Risk";"Impersonal";"Control"
"193";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_13";65;"Minimal Risk";"Impersonal";"Control"
"194";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_14";87;"Minimal Risk";"Impersonal";"Control"
"195";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_15";75;"Minimal Risk";"Impersonal";"Control"
"196";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_16";81;"Minimal Risk";"Impersonal";"Control"
"197";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_17";5;"Minimal Risk";"Impersonal";"Control"
"198";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_18";19;"Minimal Risk";"Impersonal";"Control"
"199";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_19";80;"Minimal Risk";"Impersonal";"Control"
"200";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_20";1;"Minimal Risk";"Impersonal";"Control"
"201";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_21";13;"Low Risk";"Impersonal";"Control"
"202";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_22";63;"Low Risk";"Impersonal";"Control"
"203";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_23";16;"Low Risk";"Impersonal";"Control"
"204";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_24";40;"Low Risk";"Impersonal";"Control"
"205";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_25";80;"Low Risk";"Impersonal";"Control"
"206";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_26";9;"Low Risk";"Impersonal";"Control"
"207";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_27";7;"Low Risk";"Impersonal";"Control"
"208";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_28";67;"Low Risk";"Impersonal";"Control"
"209";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_29";3;"Low Risk";"Impersonal";"Control"
"210";"R_1BXw5zHnMH4eXzU";"Gen. Control";"Question_30";7;"Low Risk";"Impersonal";"Control"
"211";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_1";3;"High Risk";"Personal";"Control"
"212";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_2";13;"High Risk";"Personal";"Control"
"213";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_3";20;"High Risk";"Personal";"Control"
"214";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_4";0;"High Risk";"Personal";"Control"
"215";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_5";10;"High Risk";"Personal";"Control"
"216";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_6";19;"High Risk";"Personal";"Control"
"217";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_7";1;"High Risk";"Personal";"Control"
"218";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_8";49;"High Risk";"Personal";"Control"
"219";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_9";0;"High Risk";"Personal";"Control"
"220";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_10";0;"High Risk";"Personal";"Control"
"221";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_11";100;"Minimal Risk";"Personal";"Control"
"222";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_12";3;"Minimal Risk";"Personal";"Control"
"223";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_13";49;"Minimal Risk";"Personal";"Control"
"224";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_14";65;"Minimal Risk";"Personal";"Control"
"225";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_15";19;"Minimal Risk";"Personal";"Control"
"226";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_16";66;"Minimal Risk";"Personal";"Control"
"227";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_17";3;"Minimal Risk";"Personal";"Control"
"228";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_18";85;"Minimal Risk";"Personal";"Control"
"229";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_19";71;"Minimal Risk";"Personal";"Control"
"230";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_20";88;"Minimal Risk";"Personal";"Control"
"231";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_21";0;"Low Risk";"Personal";"Control"
"232";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_22";73;"Low Risk";"Personal";"Control"
"233";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_23";14;"Low Risk";"Personal";"Control"
"234";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_24";100;"Low Risk";"Personal";"Control"
"235";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_25";78;"Low Risk";"Personal";"Control"
"236";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_26";2;"Low Risk";"Personal";"Control"
"237";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_27";14;"Low Risk";"Personal";"Control"
"238";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_28";7;"Low Risk";"Personal";"Control"
"239";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_29";0;"Low Risk";"Personal";"Control"
"240";"R_1C2eEB6ntWcVlkY";"Per. Control";"Question_30";0;"Low Risk";"Personal";"Control"
"241";"R_1CJFRXsOZHLiO0P";"Per. Imperative";"Question_1";52;"High Risk";"Personal";"Imperative"
"242";"R_1CJFRXsOZHLiO0P";"Per. Imperative";"Question_2";9;"High Risk";"Personal";"Imperative"
"243";"R_1CJFRXsOZHLiO0P";"Per. Imperative";"Question_3";47;"High Risk";"Personal";"Imperative"
"244";"R_1CJFRXsOZHLiO0P";"Per. Imperative";"Question_4";21;"High Risk";"Personal";"Imperative"
"245";"R_1CJFRXsOZHLiO0P";"Per. Imperative";"Question_5";49;"High Risk";"Personal";"Imperative"
"246";"R_1CJFRXsOZHLiO0P";"Per. Imperative";"Question_6";6;"High Risk";"Personal";"Imperative"
