Duration (in seconds),Finished,ResponseId,UserLanguage,CF2,CF1,Trap1,ReadingQ,VisionQ,FluencyQ,Age_1,Sex,Eng,Res,Chi,Practice_1,1_Per_Rea_1,2_Per_Rea_1,3_Per_Rea_1,4_Per_Rea_1,5_Per_Rea_1,6_Per_Rea_1,7_Per_Rea_1,8_Per_Rea_1,9_Per_Rea_1,10_Per_Rea_1,11_Per_Rea_1,12_Per_Rea_1,13_Per_Rea_1,14_Per_Rea_1,15_Per_Rea_1,16_Per_Rea_1,17_Per_Rea_1,18_Per_Rea_1,19_Per_Rea_1,20_Per_Rea_1,21_Per_Rea_1,22_Per_Rea_1,23_Per_Rea_1,24_Per_Rea_1,25_Per_Rea_1,26_Per_Rea_1,27_Per_Rea_1,28_Per_Rea_1,29_Per_Rea_1,30_Per_Rea_1,1_Per_Imp_1,2_Per_Imp_1,3_Per_Imp_1,4_Per_Imp_1,5_Per_Imp_1,6_Per_Imp_1,7_Per_Imp_1,8_Per_Imp_1,9_Per_Imp_1,10_Per_Imp_1,11_Per_Imp_1,12_Per_Imp_1,13_Per_Imp_1,14_Per_Imp_1,15_Per_Imp_1,16_Per_Imp_1,17_Per_Imp_1,18_Per_Imp_1,19_Per_Imp_1,20_Per_Imp_1,21_Per_Imp_1,22_Per_Imp_1,23_Per_Imp_1,24_Per_Imp_1,25_Per_Imp_1,26_Per_Imp_1,27_Per_Imp_1,28_Per_Imp_1,29_Per_Imp_1,30_Per_Imp_1,1_Per_Con_1,2_Per_Con_1,3_Per_Con_1,4_Per_Con_1,5_Per_Con_1,6_Per_Con_1,7_Per_Con_1,8_Per_Con_1,9_Per_Con_1,10_Per_Con_1,11_Per_Con_1,12_Per_Con_1,13_Per_Con_1,14_Per_Con_1,15_Per_Con_1,16_Per_Con_1,17_Per_Con_1,18_Per_Con_1,19_Per_Con_1,20_Per_Con_1,21_Per_Con_1,22_Per_Con_1,23_Per_Con_1,24_Per_Con_1,25_Per_Con_1,26_Per_Con_1,27_Per_Con_1,28_Per_Con_1,29_Per_Con_1,30_Per_Con_1,Practice_Gen_1,1_Gen_Rea_1,2_Gen_Rea_1,3_Gen_Rea_1,4_Gen_Rea_1,5_Gen_Rea_1,6_Gen_Rea_1,7_Gen_Rea_1,8_Gen_Rea_1,9_Gen_Rea_1,10_Gen_Rea_1,11_Gen_Rea_1,12_Gen_Rea_1,13_Gen_Rea_1,14_Gen_Rea_1,15_Gen_Rea_1,16_Gen_Rea_1,17_Gen_Rea_1,18_Gen_Rea_1,19_Gen_Rea_1,20_Gen_Rea_1,21_Gen_Rea_1,22_Gen_Rea_1,23_Gen_Rea_1,24_Gen_Rea_1,25_Gen_Rea_1,26_Gen_Rea_1,27_Gen_Rea_1,28_Gen_Rea_1,29_Gen_Rea_1,30_Gen_Rea_1,1_Gen_Imp_1,2_Gen_Imp_1,3_Gen_Imp_1,4_Gen_Imp_1,5_Gen_Imp_1,6_Gen_Imp_1,7_Gen_Imp_1,8_Gen_Imp_1,9_Gen_Imp_1,10_Gen_Imp_1,11_Gen_Imp_1,12_Gen_Imp_1,13_Gen_Imp_1,14_Gen_Imp_1,15_Gen_Imp_1,16_Gen_Imp_1,17_Gen_Imp_1,18_Gen_Imp_1,19_Gen_Imp_1,20_Gen_Imp_1,21_Gen_Imp_1,22_Gen_Imp_1,23_Gen_Imp_1,24_Gen_Imp_1,25_Gen_Imp_1,26_Gen_Imp_1,27_Gen_Imp_1,28_Gen_Imp_1,29_Gen_Imp_1,30_Gen_Imp_1,1_Gen_Con_1,2_Gen_Con_1,3_Gen_Con_1,4_Gen_Con_1,5_Gen_Con_1,6_Gen_Con_1,7_Gen_Con_1,8_Gen_Con_1,9_Gen_Con_1,10_Gen_Con_1,11_Gen_Con_1,12_Gen_Con_1,13_Gen_Con_1,14_Gen_Con_1,15_Gen_Con_1,16_Gen_Con_1,17_Gen_Con_1,18_Gen_Con_1,19_Gen_Con_1,20_Gen_Con_1,21_Gen_Con_1,22_Gen_Con_1,23_Gen_Con_1,24_Gen_Con_1,25_Gen_Con_1,26_Gen_Con_1,27_Gen_Con_1,28_Gen_Con_1,29_Gen_Con_1,30_Gen_Con_1
326,TRUE,R_BsOszBGgj1buRy1,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,41,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,9,0,21,2,0,5,6,0,62,0,20,60,82,49,0,48,16,2,1,81,5,49,0,13,12,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,TRUE,R_6qW49uJ4FNmGCYx,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,45,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,100,0,100,100,0,0,100,0,100,0,0,0,0,0,0,100,0,0,100,100,0,100,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,TRUE,R_3qhUA4d3wgGKryp,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,32,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,73,0,0,9,0,20,0,0,0,0,0,85,0,65,75,20,91,0,30,51,0,22,74,0,79,0,16,0,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,TRUE,R_3EGVY5aHyP9zMP9,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,26,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,7,0,35,1,61,27,0,12,25,0,100,11,94,100,92,100,0,100,56,13,60,100,5,90,44,96,50,66,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,TRUE,R_3HSaJTV9YvCSmY3,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,33,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,76,75,70,52,100,87,100,45,32,100,74,100,100,99,100,55,98,100,80,100,98,88,100,100,100,69,91,85,31
460,TRUE,R_1E42iuzXrp8a3XW,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,56,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7,0,18,0,0,50,0,1,71,0,10,50,0,17,0,84,0,0,51,49,0,70,0,49,0,51,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,TRUE,R_1r7TRDE2eMCz9eR,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree, but do not consent to the use of my data in future research.",Chicago,No,Yes,Yes,57,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15,0,0,0,0,0,0,0,100,0,0,87,78,71,0,91,96,0,100,100,0,100,53,15,4,54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,TRUE,R_1rpQ5vT5D3fKeoK,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,34,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,72,0,8,0,0,0,55,0,100,0,77,82,75,37,0,41,2,0,7,53,0,100,9,0,56,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,TRUE,R_1DLUcPKUzYwkmgW,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,34,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,50,37,63,52,20,58,46,5,84,35,81,14,91,75,10,77,12,13,62,76,48,82,61,62,48,18,30,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,TRUE,R_3rYaxMfYarJPO0Q,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,25,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,14,14,32,27,29,23,6,13,89,28,66,90,67,65,8,46,56,59,29,73,0,64,58,53,11,28,8,0
526,TRUE,R_30iwA213HoerR7a,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,45,Male,Yes.,Australia,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,4,0,23,1,1,3,0,1,49,20,78,21,49,86,74,5,11,61,12,10,1,10,13,51,11,3,21,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,TRUE,R_3qw0ivhQSzw1lyn,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,60,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Ireland,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,100,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,TRUE,R_3hgAeFZ11omdP69,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,41,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,95,100,85,51,76,92,100,82,100,19,100,100,100,100,100,100,89,100,100,67,91,65,100,100,50,94,100,81,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,TRUE,R_Yccg4YOjMzUUipX,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree, but do not consent to the use of my data in future research.",Chicago,No,Yes,Yes,24,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,49,0,25,0,0,23,5,0,83,6,0,13,47,0,0,0,0,0,43,49,0,67,0,2,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,TRUE,R_1QA6bKVC0gqBBNU,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,36,Male,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Bulgaria,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,50,51,56,45,53,54,52,55,57,53,52,51,68,71,50,54,52,62,50,69,56,46,52,52,49,47,42,52,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,TRUE,R_YSU9qqFbG4F8s93,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,18,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,71,6,55,56,11,11,45,58,1,10,100,78,20,64,20,29,12,70,57,19,76,75,77,9,65,11,13,11,81,65,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,TRUE,R_1pzgDgxlZBgvo6e,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,28,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,49,25,22,63,0,54,27,0,100,0,89,100,58,0,0,0,0,53,0,86,0,77,100,73,67,54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,TRUE,R_2XolebKzWHjSrlC,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,25,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,38,8,33,40,43,35,0,33,12,0,100,76,85,72,68,27,13,75,58,69,85,77,16,74,76,75,35,31,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
